"","aeid","Assay Name","descriptors_name","label","CT-Tot","TP","FP","FN","TN","BA","OR","P-Val","Inv OR","Inv P-val","assay_component_endpoint_name"
"1","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-133","bond:CS_sulfide_di-",9,4,5,486,3012,0.503252983,4.958024502,0.026553698,0.201693222,0.995952427,"ATG_Pax6_CIS_up"
"2","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-137","bond:CX_halide_alkenyl-Cl_dichloro_(1_1-)",10,4,6,486,3011,0.503087282,4.130315304,0.039473157,0.242112249,0.992825508,"ATG_Pax6_CIS_up"
"3","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-141","bond:CX_halide_alkenyl-X_dihalo_(1_2-)",23,9,14,481,3003,0.506863475,4.013513565,0.002489197,0.249158248,0.999464273,"ATG_Pax6_CIS_up"
"4","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-147","bond:CX_halide_alkyl-F_perfluoro_butyl",18,7,11,483,3006,0.505319834,3.960474253,0.00786312,0.252495021,0.998345137,"ATG_Pax6_CIS_up"
"5","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-148","bond:CX_halide_alkyl-F_perfluoro_ethyl",22,9,13,481,3004,0.507029235,4.323684692,0.001724798,0.231284216,0.999654651,"ATG_Pax6_CIS_up"
"6","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-149","bond:CX_halide_alkyl-F_perfluoro_hexyl",15,7,8,483,3009,0.505817056,5.451086998,0.002320499,0.183449656,0.999641836,"ATG_Pax6_CIS_up"
"7","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-150","bond:CX_halide_alkyl-F_perfluoro_octyl",8,6,2,484,3015,0.505791008,18.68801689,0.0001577,0.053510226,0.999992967,"ATG_Pax6_CIS_up"
"8","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-151","bond:CX_halide_alkyl-F_tetrafluoro_(1_1_1_2-)",21,8,13,482,3004,0.506008804,3.835301638,0.005241866,0.260735691,0.998839498,"ATG_Pax6_CIS_up"
"9","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-153","bond:CX_halide_alkyl-X_aromatic_alkane",15,5,10,485,3007,0.503444791,3.099999905,0.047119331,0.322580636,0.988190711,"ATG_Pax6_CIS_up"
"10","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-154","bond:CX_halide_alkyl-X_aromatic_generic",15,5,10,485,3007,0.503444791,3.099999905,0.047119331,0.322580636,0.988190711,"ATG_Pax6_CIS_up"
"11","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-156","bond:CX_halide_alkyl-X_benzyl_generic",10,4,6,486,3011,0.503087282,4.130315304,0.039473157,0.242112249,0.992825508,"ATG_Pax6_CIS_up"
"12","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-160","bond:CX_halide_alkyl-X_dihalo_(1_2-)",60,20,40,470,2977,0.513779044,3.167021275,0.000100077,0.315754116,0.999970734,"ATG_Pax6_CIS_up"
"13","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-161","bond:CX_halide_alkyl-X_dihalo_(1_3)",51,18,33,472,2984,0.512898326,3.448382139,9.62612e-05,0.289991051,0.99997431,"ATG_Pax6_CIS_up"
"14","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-168","bond:CX_halide_alkyl-X_tetrahalo_(1_1_2_2-)",24,10,14,480,3003,0.507883906,4.46875,0.000805429,0.223776221,0.999841809,"ATG_Pax6_CIS_up"
"15","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-17","bond:C(~Z)~C~Q_a-halocarbonyl",57,20,37,470,2980,0.514276266,3.427257061,4.35106e-05,0.291778535,0.999988198,"ATG_Pax6_CIS_up"
"16","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-187","bond:CX_halide_aromatic-X_halo_phenol_meta",34,12,22,478,2995,0.508598864,3.417649269,0.001420267,0.292598784,0.999630868,"ATG_Pax6_CIS_up"
"17","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-190","bond:CX_halide_aromatic-X_trihalo_benzene_(1_2_3-)",20,7,13,483,3004,0.504988372,3.348940849,0.014911981,0.298601866,0.996312976,"ATG_Pax6_CIS_up"
"18","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-324","bond:metal_group_III_other_generic",20,9,11,481,3006,0.507360697,5.113211155,0.000755214,0.195571825,0.999871612,"ATG_Pax6_CIS_up"
"19","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-338","bond:metal_group_III_other_Sn_generic",13,8,5,482,3012,0.50733465,9.998340607,9.27854e-05,0.100016601,0.999991953,"ATG_Pax6_CIS_up"
"20","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-339","bond:metal_group_III_other_Sn_halide",8,5,3,485,3014,0.504604876,10.3573885,0.002030777,0.096549436,0.999842286,"ATG_Pax6_CIS_up"
"21","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-340","bond:metal_group_III_other_Sn_organo",13,8,5,482,3012,0.50733465,9.998340607,9.27854e-05,0.100016601,0.999991953,"ATG_Pax6_CIS_up"
"22","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-361","bond:metal_metalloid_oxo",4,3,1,487,3016,0.502895474,18.57905579,0.009721688,0.053824048,0.999622881,"ATG_Pax6_CIS_up"
"23","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-460","chain:alkeneLinear_diene_1_3-butene",25,11,14,479,3003,0.508904278,4.925887108,0.000247364,0.203009114,0.999955356,"ATG_Pax6_CIS_up"
"24","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-461","chain:alkeneLinear_diene_1_4-diene",8,4,4,486,3013,0.503418744,6.199588299,0.016550982,0.161301032,0.99796921,"ATG_Pax6_CIS_up"
"25","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-471","chain:alkyne_ethyne_generic",30,10,20,480,2997,0.506889522,3.121875048,0.005636297,0.320320308,0.998434067,"ATG_Pax6_CIS_up"
"26","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-474","chain:aromaticAlkane_Ar-C-Ar",121,58,63,432,2954,0.548742831,6.295267582,5.26e-20,0.158849478,1,"ATG_Pax6_CIS_up"
"27","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-479","chain:aromaticAlkane_Ph-C1-Ph",111,53,58,437,2959,0.544469416,6.187445641,3.05e-18,0.161617577,1,"ATG_Pax6_CIS_up"
"28","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-488","chain:aromaticAlkene_Ph-C2_acyclic_generic",83,29,54,461,2963,0.520642579,3.451715231,9.10517e-07,0.289711028,0.999999762,"ATG_Pax6_CIS_up"
"29","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-490","chain:aromaticAlkene_Ph-C2",69,23,46,467,2971,0.515845895,3.180942297,3.02421e-05,0.314372271,0.999991119,"ATG_Pax6_CIS_up"
"30","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-5","atom:element_metal_poor_metal",20,9,11,481,3006,0.507360697,5.113211155,0.000755214,0.195571825,0.999871612,"ATG_Pax6_CIS_up"
"31","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-566","group:ligand_path_5_bidentate_ACAC",8,4,4,486,3013,0.503418744,6.199588299,0.016550982,0.161301032,0.99796921,"ATG_Pax6_CIS_up"
"32","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-572","group:ligand_path_5_bidentate_propandiamine",14,5,9,485,3008,0.503610492,3.445590019,0.035349317,0.290226072,0.991986215,"ATG_Pax6_CIS_up"
"33","100","AEID:100_invitrodb_v3_1_baseline_hitc_MC_20190516","Txp-602","ring:fused_steroid_generic_[5_6_6_6]",56,18,38,472,2979,0.512069702,2.989629745,0.000371503,0.334489584,0.999886036,"ATG_Pax6_CIS_up"
