"","aeid","Assay Name","descriptors_name","label","CT-Tot","TP","FP","FN","TN","BA","OR","P-Val","Inv OR","Inv P-val","assay_component_endpoint_name"
"1","100","AEID:100_invitrodb_v3_1_burst_hitc_MC_20190520","Txp-107","bond:CN_amine_ter-N_aliphatic",240,8,232,36,3231,0.557412148,3.094827652,0.008794063,0.323119789,0.997585773,"ATG_Pax6_CIS_up"
"2","100","AEID:100_invitrodb_v3_1_burst_hitc_MC_20190520","Txp-108","bond:CN_amine_ter-N_aromatic",90,4,86,40,3377,0.533037543,3.926744223,0.025191316,0.254663914,0.995091081,"ATG_Pax6_CIS_up"
"3","100","AEID:100_invitrodb_v3_1_burst_hitc_MC_20190520","Txp-110","bond:CN_amine_ter-N_generic",241,8,233,36,3230,0.557267725,3.080591202,0.009010699,0.324613005,0.99751544,"ATG_Pax6_CIS_up"
"4","100","AEID:100_invitrodb_v3_1_burst_hitc_MC_20190520","Txp-152","bond:CX_halide_alkyl-F_trifluoro_(1_1_1-)",104,4,100,40,3363,0.531016171,3.362999916,0.039962955,0.297353566,0.990978777,"ATG_Pax6_CIS_up"
"5","100","AEID:100_invitrodb_v3_1_burst_hitc_MC_20190520","Txp-153","bond:CX_halide_alkyl-X_aromatic_alkane",15,4,11,40,3452,0.543866336,31.38181877,2.66244e-05,0.031865586,0.999999344,"ATG_Pax6_CIS_up"
"6","100","AEID:100_invitrodb_v3_1_burst_hitc_MC_20190520","Txp-154","bond:CX_halide_alkyl-X_aromatic_generic",15,4,11,40,3452,0.543866336,31.38181877,2.66244e-05,0.031865586,0.999999344,"ATG_Pax6_CIS_up"
"7","100","AEID:100_invitrodb_v3_1_burst_hitc_MC_20190520","Txp-155","bond:CX_halide_alkyl-X_benzyl_alkane",64,4,60,40,3403,0.536791563,5.671666622,0.00792596,0.17631501,0.998915732,"ATG_Pax6_CIS_up"
"8","100","AEID:100_invitrodb_v3_1_burst_hitc_MC_20190520","Txp-156","bond:CX_halide_alkyl-X_benzyl_generic",10,3,7,41,3456,0.53308022,36.12543488,0.000208041,0.027681326,0.999995708,"ATG_Pax6_CIS_up"
"9","100","AEID:100_invitrodb_v3_1_burst_hitc_MC_20190520","Txp-163","bond:CX_halide_alkyl-X_ethyl_generic",82,5,77,39,3386,0.545700669,5.637695789,0.00328259,0.177377433,0.999528348,"ATG_Pax6_CIS_up"
"10","100","AEID:100_invitrodb_v3_1_burst_hitc_MC_20190520","Txp-164","bond:CX_halide_alkyl-X_generic",291,10,281,34,3182,0.573064625,3.330542088,0.002577946,0.300251424,0.999322653,"ATG_Pax6_CIS_up"
